paper_id,year,coverage_origin,modality,task,protocol_generalization,participant_generalization,gap_or_relevance_to_current_epgspeller_manuscript,sources_count
shadle1993_epg_structured_light,1993,seeded_from_frozen_related_work_survey_2026-02-17,Electropalatography-related instrumentation (palate geometry measurement),Measuring palate/face geometry to enhance EPG visualization and derive parameters,Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.",Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
silentspeller_chi2022,2022,seeded_from_frozen_related_work_survey_2026-02-17,EPG (electropalatography; intra-oral palate contact sensing),Silent spelling / silent speech text entry,Includes or motivates compositional/open-vocabulary or held-out-word evaluation; still not directly leaderboard-comparable without matched splits and metrics.,Primarily source-specific; use only as a task anchor unless the paper explicitly reports cross-user/user-independent evaluation.,Direct EPG silent spelling anchor. In v2 it supports positioning EPGSpeller as a protocol-audited benchmark rather than a claim of a single cross-paper CER leaderboard.,3
ssi_book_springer2017,2016,seeded_from_frozen_related_work_survey_2026-02-17,Survey / book,Silent Speech Interfaces (SSI) overview and taxonomy,Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,Primarily source-specific; use only as a task anchor unless the paper explicitly reports cross-user/user-independent evaluation.,Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
stone2020_electro_optical_stomatography_cross_speaker,2020,added_in_v2_2026-06-27_web_supplement_gap_closure,Electro-optical stomatography; intraoral/articulatory sensing related to palate/tongue-contact style SSI.,Cross-speaker silent-speech command word recognition.,"Important gap-closure item: directly addresses cross-speaker silent-speech recognition in a mouth/palate-related sensor setting, but under constrained command words.",Cross-speaker evaluation is central according to the title/metadata.,Addresses the 2026-02-17 search-log gap for EPG/EPG-adjacent recognition and helps sharpen the distinction between command-word cross-speaker recognition and lexicon-free spelling.,3
su2025_wordinitials_conditioned_llm_text_entry,2025,added_in_v2_2026-06-27_web_supplement,Multimodal silent-speech text entry; exact sensing channels are paper-specific and non-EPG unless otherwise stated by the source.,Silent speech-based text entry with word-initial cues and LLM-conditioned prediction.,Important contrast case because language-model conditioning changes the protocol from pure sensor decoding toward assisted text entry.,Participant/user generalization must be read from the source; v2 treats it as contextual unless cross-user evidence is explicit.,"Directly supports the current manuscript’s constraint separation: open-character decoding, lexicon projection, and LM/LLM assistance should not be collapsed into one leaderboard.",3
tang2026_sensing_technologies_ssi,2026,added_in_v2_2026-06-27_web_supplement,Review of sensing technologies for SSI across modalities.,Review and taxonomy of silent speech interface sensing technologies.,Current review source for sensor taxonomy; useful for avoiding overbroad claims about EPG as one SSI modality among many.,Review item; participant generalization varies across surveyed systems.,Strengthens the Introduction/Related Work with current survey context while preserving EPGSpeller’s narrow evidence claims.,3
toutios2006_acoustic_to_epg_mapping,2006,seeded_from_frozen_related_work_survey_2026-02-17,Speech acoustics + Electropalatography (EPG),Acoustic-to-EPG mapping (predicting electropalatograms from acoustic signals),Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.",Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
toutios2006_learning_epg_from_acoustics,2006,seeded_from_frozen_related_work_survey_2026-02-17,Speech acoustics + Electropalatography (EPG),Acoustic-to-EPG mapping (predicting electropalatograms from acoustics),Includes or motivates compositional/open-vocabulary or held-out-word evaluation; still not directly leaderboard-comparable without matched splits and metrics.,"Not a participant-generalization benchmark; use for modality, method, or representation context.",Seeded from the frozen 2026-02-17 survey; v2 uses this item to preserve the original EPG-centered baseline while adding protocol/audit/transfer lenses for the current manuscript.,3
verhoeven2019_visualisation_analysis_epg,2019,seeded_from_frozen_related_work_survey_2026-02-17,Electropalatography (EPG),Visualization and analysis methods for EPG-based speech production research,Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.","EPG representation/device context. In v2 it supports the manuscript discussion of spatial layout, electrode budget, and device-specific assumptions.",3
wang2024_watch_your_mouth_depth_sensing,2024,added_in_v2_2026-06-27_web_supplement,Depth sensing of mouth/orofacial movement for silent speech recognition.,Silent speech recognition using mouth depth signals.,Contemporary non-EPG articulatory-sensing benchmark context; not directly comparable without matched vocabulary and splits.,Cross-user status should be read from the source; v2 keeps it as modality/protocol context.,Helps position row/column/grid EPG front ends against other spatial SSI modalities while keeping claims EPG-specific.,3
woo2021_kepg_design,2021,seeded_from_frozen_related_work_survey_2026-02-17,Electropalatography (EPG) device / instrumentation,Design and evaluation of an EPG system (hardware + measurement validation),Protocol is paper-specific; v2 report treats it as contextual unless split/metric definitions align with EPGSpeller.,"Not a participant-generalization benchmark; use for modality, method, or representation context.","EPG representation/device context. In v2 it supports the manuscript discussion of spatial layout, electrode budget, and device-specific assumptions.",3
xu2026_llm_era_ssi_review,2026,added_in_v2_2026-06-27_web_supplement,Systematic review across silent speech interface modalities with an LLM-era taxonomy.,Comprehensive taxonomy and systematic review of SSI in the LLM era.,Useful for current LLM-era framing and taxonomy; not numeric benchmark evidence.,Varies across reviewed systems.,"Supports a short future-work/positioning note: EPGSpeller could later add LM-assisted decoding, but current claims remain lexicon-free and audit-bound.",3
